robot_id	message_ts_sec	message_ts_nanosec	processing_ts	arrival_ts
robot_8	1779990028	994837515	1779990028996558715	1779990029011333353
robot_8	1779990029	94943104	1779990029097935049	1779990029098629687
robot_8	1779990029	194992049	1779990029196865005	1779990029197834875
robot_8	1779990029	294966017	1779990029296286115	1779990029297011109
robot_8	1779990029	395161641	1779990029396625514	1779990029397375667
robot_8	1779990029	495169911	1779990029498774215	1779990029499351431
robot_8	1779990029	594894881	1779990029596033426	1779990029596666488
robot_8	1779990029	695017578	1779990029696693367	1779990029697587532
robot_8	1779990029	794862316	1779990029795886602	1779990029796575103
robot_8	1779990029	895083823	1779990029898258943	1779990029898991591
robot_8	1779990030	994878709	1779990030996182926	1779990031018350866
robot_7	1779990031	33240299	1779990031034453135	1779990031035131134
robot_8	1779990031	95270992	1779990031098050061	1779990031098622373
robot_7	1779990031	133232829	1779990031134539274	1779990031135385750
robot_8	1779990031	194863060	1779990031196157208	1779990031196877874
robot_7	1779990031	233230789	1779990031234656001	1779990031235500327
robot_8	1779990031	294883594	1779990031296164744	1779990031296810393
robot_7	1779990031	333402031	1779990031334887259	1779990031335658208
robot_8	1779990031	394830796	1779990031395976436	1779990031396535900
robot_7	1779990031	433286483	1779990031435038815	1779990031436730989
robot_8	1779990031	495221153	1779990031498481241	1779990031499149639
robot_7	1779990031	533170300	1779990031534349967	1779990031535074840
robot_8	1779990031	594849891	1779990031595972662	1779990031596531047
robot_7	1779990031	633180441	1779990031634520095	1779990031635200997
robot_8	1779990031	694891062	1779990031696136601	1779990031696685040
robot_7	1779990031	733335683	1779990031735315970	1779990031736118400
robot_8	1779990031	794815036	1779990031796121453	1779990031796666078
robot_7	1779990031	833152571	1779990031834359756	1779990031835020476
robot_8	1779990031	894944815	1779990031897831620	1779990031898456585
robot_7	1779990031	933278228	1779990031934637854	1779990031935452784
robot_8	1779990032	994923359	1779990032996336226	1779990033019411291
robot_7	1779990033	33210415	1779990033034512820	1779990033035229120
robot_8	1779990033	95014011	1779990033098606405	1779990033099488972
robot_7	1779990033	133224238	1779990033134506198	1779990033135318887
robot_8	1779990033	195022557	1779990033196138527	1779990033196778840
robot_7	1779990033	233163208	1779990033234379066	1779990033235055147
robot_8	1779990033	294973374	1779990033296178194	1779990033296853783
robot_7	1779990033	333313746	1779990033334644272	1779990033335429807
robot_8	1779990033	394824062	1779990033395889165	1779990033396444471
robot_7	1779990033	433150893	1779990033434271240	1779990033434950619
robot_8	1779990033	494902005	1779990033498117627	1779990033498821404
robot_7	1779990033	533222931	1779990033534356798	1779990033535015424
robot_8	1779990033	594853080	1779990033596205439	1779990033596936874
robot_7	1779990033	633259839	1779990033634489495	1779990033635416725
robot_8	1779990033	694866591	1779990033696050763	1779990033696641750
robot_7	1779990033	733229989	1779990033734611580	1779990033735468491
robot_8	1779990033	794839312	1779990033795967689	1779990033796560502
robot_7	1779990033	833121029	1779990033834265913	1779990033835011439
robot_8	1779990033	895046081	1779990033898046150	1779990033898700029
robot_7	1779990033	933228594	1779990033934593362	1779990033935418833
robot_8	1779990034	994809857	1779990034996028872	1779990035022258064
robot_8	1779990035	95195640	1779990035097942145	1779990035098475455
robot_8	1779990035	194881018	1779990035196311444	1779990035197039487
robot_8	1779990035	294918799	1779990035296171977	1779990035296980291
robot_8	1779990035	394902178	1779990035397166684	1779990035397787980
robot_8	1779990035	495040298	1779990035498045074	1779990035498716324
robot_8	1779990035	594886774	1779990035595954615	1779990035596671510
robot_8	1779990035	694835868	1779990035696085332	1779990035696666832
robot_8	1779990035	794800766	1779990035795927496	1779990035796498522
robot_8	1779990035	895012576	1779990035898142641	1779990035898770715
robot_8	1779990036	994889278	1779990036995993070	1779990037024403683
robot_8	1779990037	95199487	1779990037098231911	1779990037098789432
robot_8	1779990037	195061323	1779990037196384052	1779990037197342770
robot_8	1779990037	294908088	1779990037296010360	1779990037296634298
robot_8	1779990037	394857662	1779990037396194705	1779990037396904546
robot_8	1779990037	494928447	1779990037497835783	1779990037498475335
robot_8	1779990037	595010684	1779990037596302156	1779990037596979230
robot_8	1779990037	694880975	1779990037696152700	1779990037696824577
robot_8	1779990037	794831299	1779990037796011362	1779990037796602017
robot_8	1779990037	895136659	1779990037897947159	1779990037898550648
robot_8	1779990038	994825432	1779990038995840107	1779990039025277414
robot_8	1779990039	94984445	1779990039097670992	1779990039098286258
robot_8	1779990039	194839346	1779990039196026402	1779990039196688047
robot_8	1779990039	294889385	1779990039296119457	1779990039296640711
robot_8	1779990039	395245055	1779990039396303913	1779990039396841242
robot_8	1779990039	494950391	1779990039497714439	1779990039498247034
robot_8	1779990039	594946692	1779990039596012003	1779990039596586566
robot_8	1779990039	694908775	1779990039695919619	1779990039696501273
robot_8	1779990039	794748928	1779990039795809616	1779990039796360663
robot_8	1779990039	895171865	1779990039897649817	1779990039898228160
robot_8	1779990040	994773595	1779990040995791917	1779990041026302851
robot_8	1779990041	94970543	1779990041097539696	1779990041098120412
robot_8	1779990041	194892935	1779990041195820200	1779990041196376548
robot_8	1779990041	294821339	1779990041295748951	1779990041296405739
robot_8	1779990041	394807334	1779990041395815373	1779990041396619902
robot_8	1779990041	495333153	1779990041497660404	1779990041498415157
robot_8	1779990041	595011968	1779990041596040952	1779990041596778785
robot_8	1779990041	695073659	1779990041696135455	1779990041696845538
robot_8	1779990041	794935935	1779990041796154616	1779990041796799816
robot_8	1779990041	895007510	1779990041897709880	1779990041898416738
robot_8	1779990042	994851874	1779990042996005728	1779990043028298905
robot_8	1779990043	94952320	1779990043097528994	1779990043098081195
robot_8	1779990043	195541612	1779990043198461064	1779990043199312425
robot_8	1779990043	294873373	1779990043295911188	1779990043296488175
robot_8	1779990043	395118406	1779990043396218627	1779990043396837177
robot_8	1779990043	495149350	1779990043498402373	1779990043499011413
robot_8	1779990043	594868414	1779990043595969217	1779990043596529613
robot_8	1779990043	694909556	1779990043695759851	1779990043696322616
robot_8	1779990043	794737812	1779990043795670412	1779990043796220035
robot_8	1779990043	894956484	1779990043898154585	1779990043898861994
robot_8	1779990044	994818785	1779990044995957905	1779990045030361215
robot_8	1779990045	95327356	1779990045097866492	1779990045098504817
robot_8	1779990045	194956607	1779990045195950239	1779990045196543488
robot_8	1779990045	294866607	1779990045295833953	1779990045296476435
robot_8	1779990045	394864386	1779990045395895430	1779990045396514335
robot_8	1779990045	495219170	1779990045499274457	1779990045499935438
robot_8	1779990045	594817095	1779990045595760061	1779990045596351476
robot_8	1779990045	694842222	1779990045695866165	1779990045696399617
robot_8	1779990045	794764898	1779990045795868129	1779990045796512017
robot_8	1779990045	895178171	1779990045898043725	1779990045898609195
robot_8	1779990046	994877728	1779990046995789748	1779990047033293432
robot_8	1779990047	95345145	1779990047097876992	1779990047098572628
robot_8	1779990047	194849090	1779990047195904707	1779990047196487745
robot_8	1779990047	294893438	1779990047295984527	1779990047296635979
